count,name,avg
1,Vanille - Mark oder -pulver,
16,Parmesan oder Pecorino,3.71
1,Leinsamen o. mehr,
3,Butter oder Sanella,
8,Crème fraîche oder Crème légère,
1,Weißweinessing,
1,Salat - Mischung,
2,Pul Biber oder Chilipulver,
2,roter Traubensaft,
1,Brötchen oder einige Scheiben Toastbrot,
1,Nutella oder eine andere Nuss-Nougatcreme,
1,Blätter von Zuckerschotenpflanzen,
2,Röstzwiebeln ,
1,Gelatine für 2 l Flüssigkeit,
1,Mini-Rostbratwürstchen,
1,Topinambur oder Pastinaken,
1,Gemüsebrühe oder Hühner-,
6,Sauerteig - Extrakt,
1,Schokoblättchen oder gehackte und geröstete Mandeln,
1,Selleriepulver,
1,Haferschrot,
1,Austernpilze und/oder Kräuterseitlinge,
4,3 kleine,
1,Pistazien und Puderzucker ,
1,Meerrettich Sahnemeerrettich,
1,Kekse oder Mandeln zur Dekoration,
1,Fischsauce bei Bedarf,
5,Honig oder Süßstoff,
6,Stevia - Pulver,
1,ganze Eier,
5,andere Nüsse,
1,Mandelblättchen und etwas Zucker,
4,Aquafaba,
1,Öl von den eingelegten Tomaten,
1,Milch alternativ Apfelsaft,
1,Estragon oder Schnittlauch ,
23786,Zucker,3.64
2,Eierlikör oder Schokostreusel,
4,Wein weiß,
1,Antihaftspray,
1,Butter oder Reform Pflanzencreme mit Butteraroma,
1,Blumenkohl und 250 ml Kochwasser davon,
2,Birnenhälfte,
1,ein veganes Ersatzprodukt,
1,Zimt - Puderzucker,
1,Essig Essenz,
1,Dillblüten,
1,Quark mit 20 % Fett,
1,Lyoner oder ca. 400 g andere Fleischwurst,
61,Austernpilze,3.5
1,Marmelade / Gelee,
1,Sonnenblumenkerne und Sesam,
1,Pappardelle,
1,Cremefine der Sahne,
1,Brühwürfel bzw. Instant-Brühe nach Geschmack,
2,Roggenbrötchen,
1,Bratensaft - Würfel,
3,Fertigmischung für Salatdressing,
23,Pommes frites,3.365
16,Eiweiß ,3.415
3,trockener Weißwein,
1,Walnüsse oder s,
1,Kuchenglasur ,
1,Butter oder Margarine oder Öl ,
1,Feta-Käse nach Wahl,
2,Spargel vom Vortag,
1,Agavendicksaft oder Rohrzucker,
1,anderer Sirup,
1,Paprikamark oder Ajvar,
1,Miracel Whip oder Mayonnaise,
1,Speck - Schwarte oder Speck,
3,Olivenöl oder Kokosöl,
1,Johannisbeersaft oder -nektar,
1,Butter für die Croutons,
1,in Milch eingetunktes altbackenes Brötchen,
1,Pflanzenöl oder Kokosfett ,
1,Tomatensoße,
1,Vegeta oder s,
1,Teriakysauce,
2,Erbsen mit Möhrchen,
1,Blüten - Blätter von Rosen,
1,Wasser und Buttermilch,
2,Fleischwurst im Ring,
1,Chili con Carne,
1,Koriandergrün für die Dekoration,
373,Kaffee,3.67
1,Brotgewürzmischung aus Fenchel,
24,Nüsse oder Mandeln,3.5
1,Buchweizenflocken,
1,Kakaopulver ODER,
1,Mandelmehl oder gemahlene Mandeln oder Mandelmus,
7,Spätzle aus dem Kühlregal,
1,Kapern mit Flüssigkeit,
1,Putenschnitzel oder Putenbrust am Stück,
1,Ziegenkäse mit Rinde,
1,Kokosöl oder s ,
2,Parmesan oder anderen geriebenen Käse,
1,Gewürzmischung für Aglio e Olio,
1,Piment d'Espelette oder scharfes Paprikapulver,
1,Curry oder Senf,
1,Hackfleisch vom Reh,
6,Saft nach Wahl,
1,1/2 TL Salbeipulver,
3,Kerne ,
1,Puddingpulver ODER,
1,Weißbrot oder Sandwichtoast,
1,Melasse oder Zuckerrübensirup,
1,Zucker und Wasser,
1,Haferkleie oder Dinkelkleie,
1,Brokkoli oder nach Bedarf,
1,Pasta Hartweizen-Cortecce,
1,Bohnen - Kerne,
1,Nüsse oder getrocknete Beeren,
2,Frucht - Cocktail,
10,Waldpilzfond,3.33
1,2 EL Olivenöl,
1,Schwarz-,
9,Olivenöl oder Butter,
1,Bols Red Orange,
1,Gemüsebrühe in 400 ml Wasser aufgelöst,
1,Kaiserkirschen,
1,Butter / Margarine  der 24 cm Pfanne,
1,Sauce Hollandaise oder selbst gemachte,
1,Backmischung für Plätzchen,
1,Gewürzmischung für Gyros und für Tzatziki,
11,Pasta nach Wahl,4.0
73,Scampi,3.5
11,Schokokekse,3.2
1,Friséesalat oder Lollo rosso,
1,Erdbeersauce,
18,Pesto Rosso,3.6
1,Speckpulver,
1,Stärkemehl ODER Vanillepuddingpulver,
1,Kutteln vom Labmagen,
5,Paprikamark oder Tomatenmark,
1,Ricotta Romana,
3,Oregano oder 1 TL getrocknet,
1,Sahnesteif oder 8 TL San Apart,
1,Lammschulter oder Hals,
1,Sonnenblumenkerne oder Schinkenwürfel,
1,anderer Süßstoff,
1,1 rote Chilischote,
1,Frucht - Aufstrich Himbeergeschmack,
9,Öl und Butter,
1,Himbeeren oder Heidelbeeren oder Erdbeeren,
9957,Olivenöl,3.6
1,Chili aus der Gewürzmühle,
1,Sambal Oelek oder,
1,Sauce Hollandaise oder Sauce Hollandaise light,
1,Pinienkerne oder Pistazienkerne,
2,Petersilie nach Belieben,
3,Staudensellerie mit Grün,
1,Butter für die Kastenform,
7,Linsenmehl,
1,Meeresschnecken,
5,Koriander oder Petersilie,
4,Rochenflügel,
1,Rösti - Ecken,
2,Stärke ,
1,Lachs nach Wahl,
1,Backpulver plus 1/2 TL noch extra dazu,
643,Kekse,3.67
1,Schweinenacken oder Schweineschulter,
1,Obst und/oder Kräuter,
1,Lorbeerzweige,
1,Honig oder pflanzliches Süßungsmittel,
2,Foie gras,
1,Puderzucker mit Vanillezucker gemischt,
1,1 Chilischote,
1,Marsala oder Sherry,
1,Milchreis oder japanischer/koreanischer Reis,
488,Salbei,3.5
1,Zimtpulver oder Vanilleextrakt,
1,Semmelbrösel oder Grieß für die Form,
1,Schweinebraten ohne Knochen,
1274,Mozzarella,3.6
1,Brandy nach Geschmack,
2,Puderzucker  oder,
1,Erdbeerkonfitüre oder andere Beerenkonfitüre,
4,Scheibletten,
5,Ayran,
1,Tagliatelle oder andere Pasta,
3,Frischkäse nach Wahl,
1,Geflügelfond oder Entenfond,
1,Tofu mit Basilikum,
2,Kräuter der Toscana,
1,Zucker oder.Honig,
11,Chicken Wings,3.835
1,Kakaopulver und Puderzucker,
7,1 Vanilleschote,
30,Granatapfelkerne,3.33
1,Sojacreme,
1,Tomatensauce oder Salsa,
1,Gemüsebrühe oder Gemüsesaft,
1,Schweineschnitzel oder Puten-,
1,Lauch oder entsprechend Frühlingszwiebeln,
1,Blätterteig - Königin-Pastetchen,
1,Schinken - Schwarte,
1,Grünkern oder Dinkel,
127,Vanillepulver,3.33
1,Wurstbrühe,
1,Öl und Zitronensaft,
1,Lemongras,
1,Öl .,
1,anderes Dekor,
1,Maraschino Likör,
1,Kondensmilch Karamell oder fertige Karamell-Masse,
1,Mandelblättchen oder gehackte Mandeln,
