date,download,test_server,test_server_distance,test_server_latency,test_server_location,upload
2016-12-13 11:00:01,55.43,Studio Funk GmbH & Co. KG,0.0,31.279,Hamburg,5.44
2016-12-13 12:00:01,54.7,Studio Funk GmbH & Co. KG,0.0,31.339,Hamburg,5.41
2016-12-13 13:00:01,49.95,wilhelm.tel,0.0,30.739,Norderstedt,5.31
2016-12-13 14:00:01,55.2,Studio Funk GmbH & Co. KG,0.0,30.193,Hamburg,5.42
2016-12-13 15:00:01,52.48,Stadtwerke Neumünster GmbH,0.0,31.611,Neumuenster,5.53
2016-12-13 16:00:01,46.95,Studio Funk GmbH & Co. KG,0.0,30.99,Hamburg,5.44
2016-12-13 17:00:01,51.3,wilhelm.tel,0.0,27.271,Norderstedt,5.26
2016-12-13 18:00:01,47.3,wilhelm.tel,0.0,32.537,Norderstedt,5.42
2016-12-13 19:00:01,53.07,TNG Stadtnetz GmbH,0.0,30.891,Kiel,5.35
2016-12-13 20:00:01,50.59,Stadtwerke Neumünster GmbH,0.0,32.329,Neumuenster,5.39
2016-12-13 21:00:01,50.21,Studio Funk GmbH & Co. KG,0.0,31.647,Hamburg,4.94
2016-12-13 22:00:01,47.76,TNG Stadtnetz GmbH,0.0,30.939,Kiel,5.5
2016-12-13 23:00:01,50.5,wilhelm.tel,0.0,28.773,Norderstedt,5.34
2016-12-14 00:00:01,49.18,Studio Funk GmbH & Co. KG,0.0,29.857,Hamburg,5.42
2016-12-14 01:00:01,54.47,wilhelm.tel,0.0,30.697,Norderstedt,5.45
2016-12-14 02:00:01,54.26,wilhelm.tel,0.0,29.898,Norderstedt,5.37
2016-12-14 03:00:01,53.58,wilhelm.tel,0.0,28.176,Norderstedt,5.3
2016-12-14 04:00:01,52.41,TNG Stadtnetz GmbH,0.0,30.124,Kiel,5.38
2016-12-14 05:00:01,53.19,Studio Funk GmbH & Co. KG,0.0,29.579,Hamburg,5.38
2016-12-14 06:00:01,54.15,wilhelm.tel,0.0,29.507,Norderstedt,5.39
2016-12-14 07:00:01,52.86,wilhelm.tel,0.0,28.829,Norderstedt,5.28
2016-12-14 08:00:01,53.03,Studio Funk GmbH & Co. KG,0.0,30.67,Hamburg,5.43
2016-12-14 09:00:01,52.34,Studio Funk GmbH & Co. KG,0.0,29.129,Hamburg,0.28
2016-12-14 10:00:02,52.69,C&S Breitband GmbH,0.0,31.269,Bad Oldesloe,5.41
2016-12-14 11:00:01,53.97,TNG Stadtnetz GmbH,0.0,29.808,Kiel,5.44
2016-12-14 12:00:01,53.26,TNG Stadtnetz GmbH,0.0,31.988,Kiel,5.43
2016-12-14 13:00:01,53.46,TNG Stadtnetz GmbH,0.0,32.14,Kiel,5.44
2016-12-14 14:00:01,53.23,Stadtwerke Neumünster GmbH,0.0,31.077,Neumuenster,5.42
2016-12-14 15:00:01,53.88,wilhelm.tel,0.0,29.785,Norderstedt,5.47
2016-12-14 16:00:01,49.96,TNG Stadtnetz GmbH,0.0,31.202,Kiel,5.49
2016-12-14 17:00:01,52.56,Studio Funk GmbH & Co. KG,0.0,30.252,Hamburg,5.48
2016-12-14 18:00:01,49.21,wilhelm.tel,0.0,30.698,Norderstedt,5.4
2016-12-14 19:00:02,51.1,wilhelm.tel,0.0,29.787,Norderstedt,5.06
2016-12-14 20:00:01,47.6,wilhelm.tel,0.0,28.944,Norderstedt,5.29
2016-12-14 21:00:01,50.25,Stadtwerke Neumünster GmbH,0.0,32.054,Neumuenster,5.4
2016-12-14 22:00:01,48.62,Studio Funk GmbH & Co. KG,0.0,33.669,Hamburg,5.47
2016-12-14 23:00:01,47.94,Studio Funk GmbH & Co. KG,0.0,31.293,Hamburg,5.44
2016-12-15 00:00:01,49.6,TNG Stadtnetz GmbH,0.0,31.242,Kiel,5.47
2016-12-15 01:00:01,53.56,Studio Funk GmbH & Co. KG,0.0,31.17,Hamburg,5.4
2016-12-15 02:00:01,52.99,Studio Funk GmbH & Co. KG,0.0,29.301,Hamburg,5.52
2016-12-15 03:00:01,53.05,wilhelm.tel,0.0,30.842,Norderstedt,5.38
2016-12-15 04:00:01,53.46,C&S Breitband GmbH,0.0,31.153,Bad Oldesloe,5.41
2016-12-15 05:00:01,52.48,Studio Funk GmbH & Co. KG,0.0,29.37,Hamburg,5.54
2016-12-15 06:00:01,53.22,Studio Funk GmbH & Co. KG,0.0,30.464,Hamburg,5.47
2016-12-15 07:00:01,53.0,wilhelm.tel,0.0,27.523,Norderstedt,5.35
2016-12-15 08:00:01,53.84,Studio Funk GmbH & Co. KG,0.0,31.449,Hamburg,5.43
2016-12-15 09:00:01,54.53,wilhelm.tel,0.0,28.654,Norderstedt,5.21
2016-12-15 10:00:01,52.36,C&S Breitband GmbH,0.0,31.77,Bad Oldesloe,5.48
2016-12-15 11:00:01,53.6,TNG Stadtnetz GmbH,0.0,31.247,Kiel,5.39
2016-12-15 12:00:01,52.48,wilhelm.tel,0.0,30.367,Norderstedt,5.22
2016-12-15 13:00:01,53.17,Studio Funk GmbH & Co. KG,0.0,29.683,Hamburg,5.51
2016-12-15 14:00:01,53.16,wilhelm.tel,0.0,28.277,Norderstedt,5.33
2016-12-15 15:00:01,54.36,wilhelm.tel,0.0,29.483,Norderstedt,5.34
2016-12-15 16:00:01,29.7,Studio Funk GmbH & Co. KG,0.0,28.128,Hamburg,5.33
2016-12-15 17:00:01,51.59,Studio Funk GmbH & Co. KG,0.0,32.969,Hamburg,5.45
2016-12-15 18:00:01,53.28,C&S Breitband GmbH,0.0,30.965,Bad Oldesloe,5.46
2016-12-15 19:00:01,52.41,Studio Funk GmbH & Co. KG,0.0,30.684,Hamburg,5.43
2016-12-15 20:00:01,50.22,C&S Breitband GmbH,0.0,31.66,Bad Oldesloe,5.18
2016-12-15 21:00:01,50.71,wilhelm.tel,0.0,29.791,Norderstedt,5.16
2016-12-15 22:00:01,49.12,wilhelm.tel,0.0,30.1,Norderstedt,5.22
2016-12-15 23:00:01,44.94,Studio Funk GmbH & Co. KG,0.0,29.273,Hamburg,5.25
2016-12-16 00:00:01,49.12,Studio Funk GmbH & Co. KG,0.0,30.465,Hamburg,5.22
2016-12-16 01:00:01,53.36,TNG Stadtnetz GmbH,0.0,29.942,Kiel,5.38
2016-12-16 02:00:01,49.01,Studio Funk GmbH & Co. KG,0.0,28.791,Hamburg,5.29
2016-12-16 03:00:01,53.71,wilhelm.tel,0.0,27.993,Norderstedt,5.27
2016-12-16 04:00:01,53.24,Studio Funk GmbH & Co. KG,0.0,29.464,Hamburg,5.47
